topic,model1,model2,jsd
biblical,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.253
biblical,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.336
biblical,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.265
biblical,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.34
biblical,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.31
biblical,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.352
biblical,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.344
biblical,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.287
biblical,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.386
biblical,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.332
biblical,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.355
biblical,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.326
biblical,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.37
biblical,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.357
biblical,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.371
biblical,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.352
biblical,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.307
biblical,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.332
biblical,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.261
biblical,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.268
biblical,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.284
big-food,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.243
big-food,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.276
big-food,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.295
big-food,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.304
big-food,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.279
big-food,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.296
big-food,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.298
big-food,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.207
big-food,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.26
big-food,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.236
big-food,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.273
big-food,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.258
big-food,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.296
big-food,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.268
big-food,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.26
big-food,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.304
big-food,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.285
big-food,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.316
big-food,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.258
big-food,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.322
big-food,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.32
big-food,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.335
big-food,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.304
big-food,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.287
big-food,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.319
big-food,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.27
big-food,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.263
big-food,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.282
big-pharma,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.277
big-pharma,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.285
big-pharma,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.297
big-pharma,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.257
big-pharma,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.298
big-pharma,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.28
big-pharma,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.337
big-pharma,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.214
big-pharma,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.272
big-pharma,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.233
big-pharma,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.301
big-pharma,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.263
big-pharma,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.335
big-pharma,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.278
big-pharma,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.241
big-pharma,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.326
big-pharma,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.296
big-pharma,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.353
big-pharma,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.255
big-pharma,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.337
big-pharma,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.322
big-pharma,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.353
big-pharma,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.301
big-pharma,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.28
big-pharma,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.331
big-pharma,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.263
big-pharma,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.335
big-pharma,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.315
birth-control,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.264
birth-control,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.279
birth-control,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.3
birth-control,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.275
birth-control,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.306
birth-control,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.294
birth-control,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.288
birth-control,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.196
birth-control,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.262
birth-control,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.228
birth-control,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.306
birth-control,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.261
birth-control,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.255
birth-control,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.257
birth-control,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.226
birth-control,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.329
birth-control,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.297
birth-control,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.281
birth-control,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.241
birth-control,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.351
birth-control,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.325
birth-control,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.307
birth-control,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.334
birth-control,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.321
birth-control,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.271
birth-control,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.268
birth-control,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.247
birth-control,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.255
black-lives-matter,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.293
black-lives-matter,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.291
black-lives-matter,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.323
black-lives-matter,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.279
black-lives-matter,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.321
black-lives-matter,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.312
black-lives-matter,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.308
black-lives-matter,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.217
black-lives-matter,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.334
black-lives-matter,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.263
black-lives-matter,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.291
black-lives-matter,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.301
black-lives-matter,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.285
black-lives-matter,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.332
black-lives-matter,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.249
black-lives-matter,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.299
black-lives-matter,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.32
black-lives-matter,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.305
black-lives-matter,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.293
black-lives-matter,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.381
black-lives-matter,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.39
black-lives-matter,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.371
black-lives-matter,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.336
black-lives-matter,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.346
