topic,model1,model2,jsd
filter-bubble,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.321
filter-bubble,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.299
filter-bubble,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.258
filter-bubble,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.224
filter-bubble,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.339
filter-bubble,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.347
filter-bubble,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.294
filter-bubble,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.24
filter-bubble,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.329
filter-bubble,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.343
filter-bubble,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.303
filter-bubble,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.307
filter-bubble,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.314
filter-bubble,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.28
filter-bubble,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.302
filter-bubble,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.252
filter-bubble,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.282
forced-treatment,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.286
forced-treatment,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.268
forced-treatment,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.312
forced-treatment,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.285
forced-treatment,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.297
forced-treatment,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.252
forced-treatment,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.251
forced-treatment,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.212
forced-treatment,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.289
forced-treatment,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.228
forced-treatment,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.302
forced-treatment,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.257
forced-treatment,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.27
forced-treatment,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.3
forced-treatment,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.201
forced-treatment,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.314
forced-treatment,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.256
forced-treatment,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.292
forced-treatment,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.267
forced-treatment,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.335
forced-treatment,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.306
forced-treatment,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.309
forced-treatment,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.318
forced-treatment,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.277
forced-treatment,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.287
forced-treatment,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.273
forced-treatment,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.244
forced-treatment,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.233
freedom-of-religion-religious-freedom-religious-liberty,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.352
freedom-of-religion-religious-freedom-religious-liberty,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.4
freedom-of-religion-religious-freedom-religious-liberty,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.356
freedom-of-religion-religious-freedom-religious-liberty,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.332
freedom-of-religion-religious-freedom-religious-liberty,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.282
freedom-of-religion-religious-freedom-religious-liberty,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.352
freedom-of-religion-religious-freedom-religious-liberty,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.342
freedom-of-religion-religious-freedom-religious-liberty,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.264
freedom-of-religion-religious-freedom-religious-liberty,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.316
freedom-of-religion-religious-freedom-religious-liberty,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.259
freedom-of-religion-religious-freedom-religious-liberty,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.358
freedom-of-religion-religious-freedom-religious-liberty,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.351
freedom-of-religion-religious-freedom-religious-liberty,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.326
freedom-of-religion-religious-freedom-religious-liberty,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.338
freedom-of-religion-religious-freedom-religious-liberty,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.259
freedom-of-religion-religious-freedom-religious-liberty,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.385
freedom-of-religion-religious-freedom-religious-liberty,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.363
freedom-of-religion-religious-freedom-religious-liberty,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.347
freedom-of-religion-religious-freedom-religious-liberty,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.303
freedom-of-religion-religious-freedom-religious-liberty,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.366
freedom-of-religion-religious-freedom-religious-liberty,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.38
freedom-of-religion-religious-freedom-religious-liberty,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.353
freedom-of-religion-religious-freedom-religious-liberty,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.338
freedom-of-religion-religious-freedom-religious-liberty,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.339
freedom-of-religion-religious-freedom-religious-liberty,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.296
freedom-of-religion-religious-freedom-religious-liberty,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.3
freedom-of-religion-religious-freedom-religious-liberty,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.285
freedom-of-religion-religious-freedom-religious-liberty,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.287
gun-control,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.208
gun-control,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.22
gun-control,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.229
gun-control,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.217
gun-control,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.208
gun-control,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.22
gun-control,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.212
gun-control,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.143
gun-control,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.204
gun-control,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.154
gun-control,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.236
gun-control,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.215
gun-control,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.204
gun-control,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.196
gun-control,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.158
gun-control,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.246
gun-control,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.239
gun-control,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.227
gun-control,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.176
gun-control,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.259
gun-control,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.257
gun-control,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.232
gun-control,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.245
gun-control,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.227
gun-control,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.211
gun-control,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.167
gun-control,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.174
gun-control,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.182
gun-rights,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.256
gun-rights,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.243
gun-rights,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.337
gun-rights,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.272
gun-rights,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.275
gun-rights,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.242
gun-rights,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.241
gun-rights,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.186
gun-rights,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.269
gun-rights,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.205
gun-rights,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.291
gun-rights,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.245
gun-rights,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.246
gun-rights,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.296
gun-rights,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.215
gun-rights,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.297
gun-rights,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.239
gun-rights,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.251
gun-rights,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.277
gun-rights,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.353
gun-rights,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.32
gun-rights,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.338
gun-rights,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.322
gun-rights,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.27
gun-rights,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.28
gun-rights,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.248
gun-rights,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.248
gun-rights,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.217
gun-violence,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.293
gun-violence,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.287
gun-violence,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.308
gun-violence,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.289
gun-violence,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.29
gun-violence,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.291
gun-violence,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.285
gun-violence,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.197
gun-violence,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.271
gun-violence,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.223
gun-violence,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.294
gun-violence,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.268
gun-violence,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.276
gun-violence,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.272
gun-violence,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.199
gun-violence,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.313
gun-violence,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.282
gun-violence,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.286
gun-violence,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.242
gun-violence,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.364
gun-violence,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.334
gun-violence,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.303
gun-violence,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.339
gun-violence,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.3
gun-violence,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.28
gun-violence,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.232
gun-violence,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.256
gun-violence,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.235
inequality-inequity,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.265
inequality-inequity,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.286
inequality-inequity,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.356
inequality-inequity,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.313
inequality-inequity,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.325
inequality-inequity,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.289
inequality-inequity,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.313
inequality-inequity,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.204
inequality-inequity,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.252
inequality-inequity,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.219
inequality-inequity,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.302
inequality-inequity,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.271
inequality-inequity,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.283
inequality-inequity,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.276
inequality-inequity,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.227
inequality-inequity,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.332
inequality-inequity,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.298
inequality-inequity,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.314
inequality-inequity,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.235
inequality-inequity,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.37
inequality-inequity,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.352
inequality-inequity,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.343
inequality-inequity,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.334
inequality-inequity,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.321
inequality-inequity,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.311
inequality-inequity,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.252
inequality-inequity,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.257
inequality-inequity,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.235
libertarianism-libertarian-party,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.236
libertarianism-libertarian-party,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.249
libertarianism-libertarian-party,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.268
libertarianism-libertarian-party,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.212
libertarianism-libertarian-party,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.271
libertarianism-libertarian-party,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.275
libertarianism-libertarian-party,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.256
libertarianism-libertarian-party,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.17
libertarianism-libertarian-party,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.231
libertarianism-libertarian-party,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.173
libertarianism-libertarian-party,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.256
libertarianism-libertarian-party,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.252
libertarianism-libertarian-party,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.27
libertarianism-libertarian-party,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.236
libertarianism-libertarian-party,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.205
libertarianism-libertarian-party,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.277
libertarianism-libertarian-party,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.276
libertarianism-libertarian-party,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.282
libertarianism-libertarian-party,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.231
libertarianism-libertarian-party,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.321
libertarianism-libertarian-party,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.325
libertarianism-libertarian-party,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.323
libertarianism-libertarian-party,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.257
libertarianism-libertarian-party,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.246
libertarianism-libertarian-party,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.262
libertarianism-libertarian-party,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.224
libertarianism-libertarian-party,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.22
libertarianism-libertarian-party,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.254
marijuana,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.217
marijuana,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.252
marijuana,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.29
marijuana,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.247
marijuana,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.285
marijuana,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.309
marijuana,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.289
marijuana,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.171
marijuana,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.237
marijuana,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.181
marijuana,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.263
marijuana,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.299
marijuana,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.254
marijuana,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.275
marijuana,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.215
marijuana,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.31
marijuana,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.329
marijuana,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.3
marijuana,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.257
marijuana,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.328
marijuana,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.399
marijuana,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.292
marijuana,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.282
marijuana,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.314
marijuana,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.258
marijuana,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.308
marijuana,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.245
marijuana,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.313
mental-health,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.256
mental-health,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.286
mental-health,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.278
mental-health,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.241
mental-health,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.31
mental-health,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.412
mental-health,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.311
mental-health,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.205
mental-health,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.261
mental-health,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.194
mental-health,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.296
mental-health,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.357
mental-health,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.325
mental-health,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.29
mental-health,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.229
mental-health,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.35
mental-health,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.405
mental-health,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.353
mental-health,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.264
mental-health,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.36
mental-health,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.417
mental-health,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.352
mental-health,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.336
mental-health,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.342
mental-health,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.326
mental-health,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.354
mental-health,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.295
mental-health,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.358
national-defense-national-security,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.27
national-defense-national-security,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.275
national-defense-national-security,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.296
national-defense-national-security,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.264
national-defense-national-security,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.286
national-defense-national-security,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.326
national-defense-national-security,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.31
national-defense-national-security,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.196
national-defense-national-security,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.243
national-defense-national-security,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.203
national-defense-national-security,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.244
national-defense-national-security,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.258
national-defense-national-security,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.257
national-defense-national-security,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.283
national-defense-national-security,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.243
national-defense-national-security,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.283
national-defense-national-security,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.289
national-defense-national-security,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.294
national-defense-national-security,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.234
national-defense-national-security,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.335
national-defense-national-security,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.295
national-defense-national-security,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.299
national-defense-national-security,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.283
national-defense-national-security,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.298
national-defense-national-security,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.278
national-defense-national-security,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.297
national-defense-national-security,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.255
national-defense-national-security,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.279
patriotism-patriotic-patriot,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.321
patriotism-patriotic-patriot,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.338
patriotism-patriotic-patriot,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.414
patriotism-patriotic-patriot,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.333
patriotism-patriotic-patriot,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.347
patriotism-patriotic-patriot,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.381
patriotism-patriotic-patriot,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.327
patriotism-patriotic-patriot,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.224
patriotism-patriotic-patriot,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.327
patriotism-patriotic-patriot,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.237
patriotism-patriotic-patriot,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.324
patriotism-patriotic-patriot,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.318
patriotism-patriotic-patriot,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.316
patriotism-patriotic-patriot,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.31
